subject;stimulus;response;reactionTime
1discovery;L1_154_sent09;British;6.911259174346924
1discovery;L1_154_sent01;British;8.642976999282837
1discovery;L3_201_sent09;American;4.548593997955322
1discovery;L2_307_sent08;British;5.918083906173706
1discovery;L1_017_sent02;American;5.478525161743164
1discovery;L1_192_sent03;British;3.836351156234741
1discovery;L3_201_sent05;American;5.678046941757202
1discovery;L1_029_sent10;American;7.744338274002075
1discovery;L1_151_sent06;American;3.3835489749908447
1discovery;L2_307_sent03;American;3.855173110961914
1discovery;L2_228_sent04;British;2.6374809741973877
1discovery;L1_029_sent01;American;5.740801095962524
1discovery;L1_151_sent02;American;2.9114749431610107
1discovery;L1_154_sent08;British;2.7212188243865967
1discovery;L1_017_sent08;American;2.332016706466675
1discovery;L1_069_sent05;American;3.8749632835388184
1discovery;L2_230_sent08;American;5.353669166564941
1discovery;L1_192_sent04;British;4.72721004486084
1discovery;L2_228_sent06;American;7.8853230476379395
1discovery;L1_069_sent12;American;2.580885887145996
1discovery;L2_228_sent12;British;2.4822280406951904
1discovery;L1_029_sent12;American;3.0558652877807617
1discovery;L1_154_sent10;British;3.7411298751831055
1discovery;L1_017_sent06;British;5.896606922149658
1discovery;L1_151_sent01;American;4.292765378952026
1discovery;L2_228_sent01;British;2.871366024017334
1discovery;L1_069_sent01;American;6.471593856811523
1discovery;L1_192_sent02;British;3.553471088409424
1discovery;L1_017_sent10;American;2.6540720462799072
1discovery;L2_307_sent10;British;3.414463996887207
1discovery;L3_201_sent10;American;8.535380125045776
1discovery;L1_017_sent05;American;3.1535491943359375
1discovery;L2_230_sent06;American;2.137212038040161
1discovery;L1_151_sent03;American;2.932062864303589
1discovery;L2_230_sent05;British;5.352100849151611
1discovery;L1_029_sent06;American;8.434429168701172
1discovery;L1_069_sent08;American;5.612055063247681
1discovery;L2_230_sent10;American;2.2411792278289795
1discovery;L1_017_sent12;British;6.022342920303345
1discovery;L1_069_sent02;American;4.330633878707886
1discovery;L2_307_sent02;British;2.8252217769622803
1discovery;L1_154_sent12;British;2.2399797439575195
1discovery;L2_308_sent03;British;2.2804300785064697
1discovery;L1_017_sent03;British;5.5399768352508545
1discovery;L1_017_sent09;British;1.8718700408935547
1discovery;L1_069_sent06;American;7.561315059661865
1discovery;L1_029_sent09;American;8.026593923568726
1discovery;L2_308_sent01;American;4.602770090103149
1discovery;L2_308_sent10;American;7.334389925003052
1discovery;L2_307_sent06;American;8.877770185470581
1discovery;L1_151_sent12;American;2.5368776321411133
1discovery;L1_069_sent09;British;4.560980319976807
1discovery;L1_192_sent05;British;4.953979969024658
1discovery;L1_151_sent09;American;2.5728600025177
1discovery;L3_201_sent04;American;5.995043754577637
1discovery;L1_029_sent05;American;4.0394580364227295
1discovery;L2_307_sent09;British;2.4737961292266846
1discovery;L1_029_sent08;American;7.369227886199951
1discovery;L1_192_sent09;British;2.6347179412841797
1discovery;L3_201_sent03;American;5.607200860977173
1discovery;L2_308_sent06;American;3.142824172973633
1discovery;L2_308_sent02;British;5.6233227252960205
1discovery;L1_154_sent04;British;2.7243969440460205
1discovery;L2_230_sent03;American;6.494503974914551
1discovery;L1_151_sent04;American;2.8045730590820312
1discovery;L3_201_sent12;American;5.906123876571655
1discovery;L1_029_sent04;American;5.602432012557983
1discovery;L2_308_sent12;American;2.7313289642333984
1discovery;L2_230_sent09;American;4.1200220584869385
1discovery;L1_154_sent06;British;2.6234490871429443
1discovery;L1_069_sent03;American;5.938335180282593
1discovery;L1_154_sent02;British;7.210978269577026
1discovery;L1_029_sent02;American;6.120881080627441
1discovery;L2_228_sent10;British;2.501534938812256
1discovery;L2_228_sent02;British;2.3372299671173096
1discovery;L1_192_sent08;British;3.3685858249664307
1discovery;L2_307_sent01;American;4.2991862297058105
1discovery;L2_307_sent12;American;1.9680969715118408
1discovery;L3_201_sent08;British;2.3994150161743164
1discovery;L1_017_sent04;British;7.494111061096191
1discovery;L2_230_sent04;American;5.692034959793091
1discovery;L1_192_sent01;British;3.393198013305664
1discovery;L1_154_sent05;British;2.3770389556884766
1discovery;L2_230_sent12;American;2.3751988410949707
1discovery;L1_069_sent10;American;4.537997007369995
1discovery;L1_017_sent01;British;4.651384115219116
1discovery;L2_307_sent04;British;6.3277199268341064
1discovery;L2_230_sent01;American;5.1360509395599365
1discovery;L1_151_sent08;American;4.078633069992065
1discovery;L1_029_sent03;American;5.881353139877319
1discovery;L1_069_sent04;American;8.529366731643677
1discovery;L1_192_sent10;British;3.2369918823242188
1discovery;L2_228_sent03;British;2.2673280239105225
1discovery;L2_308_sent04;British;2.360966920852661
1discovery;L2_308_sent05;British;2.3276002407073975
1discovery;L1_151_sent10;American;2.166537046432495
1discovery;L3_201_sent06;American;8.839207887649536
1discovery;L2_230_sent02;American;7.296121120452881
1discovery;L2_228_sent05;British;2.3787410259246826
1discovery;L1_154_sent03;British;2.474053144454956
1discovery;L1_192_sent12;British;3.1501598358154297
1discovery;L2_228_sent09;British;5.263649940490723
1discovery;L1_192_sent06;British;8.537364959716797
1discovery;L2_308_sent08;American;5.592188119888306
1discovery;L2_228_sent08;British;3.2094180583953857
1discovery;L3_201_sent01;American;5.843800067901611
1discovery;L2_308_sent09;British;2.3325788974761963
1discovery;L1_151_sent05;American;2.8655450344085693
1discovery;L2_307_sent05;American;7.502009868621826
1discovery;L3_201_sent02;American;3.3318841457366943
