subject;stimulus;response;reactionTime
1discovery;L1_192_sent04;British;10.051355123519897
1discovery;L1_192_sent08;British;5.980917930603027
1discovery;L2_230_sent09;American;8.832565069198608
1discovery;L2_308_sent06;British;8.346141815185547
1discovery;L1_069_sent12;British;5.839421033859253
1discovery;L2_230_sent10;American;4.602421045303345
1discovery;L1_029_sent01;American;6.870251178741455
1discovery;L1_192_sent01;British;6.859888076782227
1discovery;L3_201_sent09;British;6.068157911300659
1discovery;L2_228_sent01;British;4.067709922790527
1discovery;L2_308_sent10;American;3.213099956512451
1discovery;L2_228_sent10;British;3.048060894012451
1discovery;L1_151_sent10;American;2.5937857627868652
1discovery;L3_201_sent04;British;5.554514169692993
1discovery;L1_069_sent01;American;5.6688010692596436
1discovery;L1_017_sent05;American;3.8037641048431396
1discovery;L1_029_sent04;American;3.736948013305664
1discovery;L2_307_sent12;British;4.928757905960083
1discovery;L1_192_sent12;British;3.645735025405884
1discovery;L1_069_sent05;American;4.502205848693848
1discovery;L1_029_sent06;American;11.852934122085571
1discovery;L3_201_sent10;British;7.279785871505737
1discovery;L1_192_sent03;British;3.695152997970581
1discovery;L1_029_sent09;American;9.033491134643555
1discovery;L2_230_sent03;American;4.431378126144409
1discovery;L1_192_sent10;British;2.6447339057922363
1discovery;L1_151_sent04;American;2.7290029525756836
1discovery;L1_151_sent09;American;2.3400721549987793
1discovery;L3_201_sent08;British;5.736145973205566
1discovery;L1_154_sent03;British;2.4044058322906494
1discovery;L1_151_sent02;American;3.5453507900238037
1discovery;L1_151_sent05;American;2.273021936416626
1discovery;L1_069_sent06;British;3.457341194152832
1discovery;L1_017_sent02;American;5.442412853240967
1discovery;L2_228_sent06;British;2.9719398021698
1discovery;L3_201_sent02;British;5.336936950683594
1discovery;L2_308_sent12;American;1.9328200817108154
1discovery;L1_192_sent02;British;3.2170722484588623
1discovery;L1_154_sent06;British;3.380035638809204
1discovery;L1_154_sent05;British;2.8414430618286133
1discovery;L2_307_sent05;American;2.946298837661743
1discovery;L1_154_sent12;British;6.356024265289307
1discovery;L2_230_sent02;American;2.2214789390563965
1discovery;L1_154_sent10;British;6.200561046600342
1discovery;L1_192_sent05;British;4.681038856506348
1discovery;L2_308_sent08;American;5.694237947463989
1discovery;L1_017_sent09;American;2.3772029876708984
1discovery;L2_228_sent03;British;8.523204803466797
1discovery;L2_308_sent04;British;4.209850072860718
1discovery;L2_228_sent04;American;6.591779947280884
1discovery;L2_228_sent05;British;3.1446101665496826
1discovery;L1_151_sent12;American;2.1046338081359863
1discovery;L1_154_sent08;British;4.171432971954346
1discovery;L2_308_sent09;American;4.862806081771851
1discovery;L2_230_sent01;American;2.9679977893829346
1discovery;L1_017_sent12;American;3.324563980102539
1discovery;L1_029_sent05;American;5.851893901824951
1discovery;L1_154_sent09;British;6.792938947677612
1discovery;L3_201_sent01;British;4.437523365020752
1discovery;L1_029_sent02;American;6.943537950515747
1discovery;L1_017_sent06;American;8.498663902282715
1discovery;L2_228_sent09;British;4.064363956451416
1discovery;L1_017_sent03;American;4.272096157073975
1discovery;L1_017_sent10;American;2.676474094390869
1discovery;L1_069_sent09;American;6.777185678482056
1discovery;L1_069_sent04;American;7.694591045379639
1discovery;L1_151_sent08;American;3.3862199783325195
1discovery;L2_307_sent02;British;8.47168493270874
1discovery;L1_154_sent01;British;3.899729013442993
1discovery;L2_230_sent04;American;2.6594300270080566
1discovery;L2_230_sent08;American;5.2047278881073
1discovery;L2_307_sent03;British;3.1283488273620605
1discovery;L2_308_sent05;British;5.652920246124268
1discovery;L2_307_sent10;British;5.082924127578735
1discovery;L1_069_sent10;American;3.435920000076294
1discovery;L1_017_sent08;American;2.326775074005127
1discovery;L2_307_sent04;British;4.153531789779663
1discovery;L3_201_sent05;American;9.699687957763672
1discovery;L2_307_sent09;British;2.6631999015808105
1discovery;L1_069_sent02;American;8.48851203918457
1discovery;L1_029_sent10;American;8.284976720809937
1discovery;L2_228_sent08;British;4.047670125961304
1discovery;L2_308_sent02;British;6.895396947860718
1discovery;L1_154_sent02;British;5.673670053482056
1discovery;L2_230_sent12;American;2.3196139335632324
1discovery;L3_201_sent03;American;5.650074005126953
1discovery;L2_307_sent08;British;5.067888021469116
1discovery;L2_230_sent05;American;4.452569246292114
1discovery;L1_029_sent08;American;7.025691986083984
1discovery;L1_151_sent01;American;4.592317342758179
1discovery;L1_151_sent03;American;2.5059008598327637
1discovery;L3_201_sent06;American;9.437899112701416
1discovery;L3_201_sent12;American;7.187090873718262
1discovery;L2_230_sent06;American;3.6656954288482666
1discovery;L1_151_sent06;American;3.035815954208374
1discovery;L2_308_sent03;British;3.5683467388153076
1discovery;L1_029_sent12;American;4.859992742538452
1discovery;L1_017_sent04;American;2.677781820297241
1discovery;L1_017_sent01;American;6.381024122238159
1discovery;L1_069_sent03;American;3.617283821105957
1discovery;L1_029_sent03;British;4.613542795181274
1discovery;L2_307_sent01;British;4.212303876876831
1discovery;L1_192_sent09;British;2.6113710403442383
1discovery;L1_069_sent08;American;5.801562070846558
1discovery;L2_307_sent06;British;9.821147918701172
1discovery;L2_308_sent01;American;5.328800916671753
1discovery;L2_228_sent02;British;5.575624942779541
1discovery;L2_228_sent12;British;6.250129222869873
1discovery;L1_192_sent06;British;6.970563888549805
1discovery;L1_154_sent04;British;5.479468107223511
