subject;stimulus;response;reactionTime
1discovery;L1_069_sent12;American;7.320613145828247
1discovery;L1_029_sent09;American;9.626649856567383
1discovery;L2_307_sent10;British;4.595056056976318
1discovery;L2_308_sent02;British;6.149316787719727
1discovery;L1_029_sent10;American;15.08617615699768
1discovery;L2_228_sent01;British;5.047434091567993
1discovery;L1_069_sent01;American;8.046179056167603
1discovery;L1_192_sent09;British;3.3517491817474365
1discovery;L1_154_sent03;British;5.170246124267578
1discovery;L2_228_sent09;British;4.59262228012085
1discovery;L2_230_sent10;American;5.664035797119141
1discovery;L1_154_sent01;British;7.543647050857544
1discovery;L2_228_sent06;British;4.799913167953491
1discovery;L1_017_sent08;British;4.47653603553772
1discovery;L1_029_sent12;British;5.45366907119751
1discovery;L1_154_sent09;British;7.3581202030181885
1discovery;L2_228_sent10;British;3.3207900524139404
1discovery;L3_201_sent02;American;8.632972002029419
1discovery;L2_228_sent05;British;4.908605098724365
1discovery;L2_230_sent04;American;5.924879312515259
1discovery;L2_228_sent02;British;2.461298942565918
1discovery;L2_308_sent06;British;5.657370090484619
1discovery;L1_151_sent05;American;3.782823324203491
1discovery;L1_151_sent04;American;4.66966986656189
1discovery;L2_228_sent12;British;2.3127148151397705
1discovery;L2_307_sent08;British;2.9426891803741455
1discovery;L2_230_sent08;American;6.102164030075073
1discovery;L1_017_sent09;British;3.999660015106201
1discovery;L3_201_sent04;British;5.357068061828613
1discovery;L2_308_sent12;American;4.887648820877075
1discovery;L2_230_sent09;American;8.970237016677856
1discovery;L2_308_sent09;British;2.6291141510009766
1discovery;L2_230_sent01;British;4.495018005371094
1discovery;L2_308_sent10;British;8.519737958908081
1discovery;L3_201_sent06;British;9.094835042953491
1discovery;L1_017_sent10;British;4.877076864242554
1discovery;L2_230_sent02;American;7.602619886398315
1discovery;L1_154_sent10;British;6.1493470668792725
1discovery;L1_151_sent09;American;5.98319673538208
1discovery;L3_201_sent05;British;9.498779296875
1discovery;L1_069_sent06;British;8.12979793548584
1discovery;L1_069_sent04;British;7.367003917694092
1discovery;L1_029_sent05;British;2.9678311347961426
1discovery;L1_192_sent12;British;3.2307510375976562
1discovery;L2_228_sent03;British;2.43711519241333
1discovery;L1_154_sent05;British;10.906248331069946
1discovery;L1_154_sent02;British;6.498598098754883
1discovery;L1_154_sent06;American;11.877629280090332
1discovery;L1_029_sent01;British;3.3796770572662354
1discovery;L1_154_sent08;British;2.615385055541992
1discovery;L2_308_sent08;British;2.049730062484741
1discovery;L1_017_sent02;American;7.71091890335083
1discovery;L1_192_sent06;British;4.1805579662323
1discovery;L2_230_sent03;American;5.642331123352051
1discovery;L2_307_sent12;British;3.5673840045928955
1discovery;L3_201_sent12;American;6.061837196350098
1discovery;L1_192_sent02;British;3.476778030395508
1discovery;L3_201_sent03;British;5.904383897781372
1discovery;L1_151_sent03;American;4.747615098953247
1discovery;L1_151_sent02;American;3.432138681411743
1discovery;L1_151_sent10;American;4.326673269271851
1discovery;L1_151_sent06;American;4.17789888381958
1discovery;L1_069_sent05;British;6.456686019897461
1discovery;L2_307_sent05;British;2.495919942855835
1discovery;L2_307_sent03;British;3.4213449954986572
1discovery;L1_192_sent05;British;7.257946014404297
1discovery;L1_017_sent05;British;3.3858718872070312
1discovery;L1_029_sent06;American;6.74294900894165
1discovery;L1_154_sent04;British;3.6701061725616455
1discovery;L1_151_sent01;American;6.207100868225098
1discovery;L2_307_sent04;British;3.454050064086914
1discovery;L2_228_sent08;British;4.2299628257751465
1discovery;L1_154_sent12;British;4.696650981903076
1discovery;L1_029_sent08;American;7.465267896652222
1discovery;L2_308_sent04;British;3.685434103012085
1discovery;L1_017_sent12;British;4.0615081787109375
1discovery;L1_029_sent04;British;3.386486768722534
1discovery;L2_228_sent04;British;2.953094959259033
1discovery;L3_201_sent09;British;6.943746089935303
1discovery;L1_192_sent01;British;3.427000045776367
1discovery;L3_201_sent01;British;2.2899398803710938
1discovery;L2_308_sent01;British;2.989315986633301
1discovery;L3_201_sent10;British;7.972860097885132
1discovery;L1_192_sent10;British;2.849076986312866
1discovery;L1_017_sent01;British;3.608790159225464
1discovery;L1_069_sent03;British;8.368753910064697
1discovery;L1_192_sent03;British;3.4767849445343018
1discovery;L1_017_sent03;British;4.272226095199585
1discovery;L2_307_sent09;British;2.0409469604492188
1discovery;L1_029_sent03;British;5.401605129241943
1discovery;L2_307_sent02;British;2.233167886734009
1discovery;L1_192_sent08;British;3.2343361377716064
1discovery;L1_069_sent09;American;7.160611867904663
1discovery;L1_069_sent10;British;2.51340389251709
1discovery;L1_069_sent02;British;4.821821928024292
1discovery;L2_230_sent06;American;6.382694721221924
1discovery;L1_192_sent04;British;4.210546016693115
1discovery;L2_230_sent05;American;6.90201210975647
1discovery;L3_201_sent08;British;4.48452615737915
1discovery;L1_029_sent02;British;3.4413299560546875
1discovery;L1_017_sent06;British;3.701133966445923
1discovery;L2_230_sent12;American;6.938006639480591
1discovery;L2_307_sent01;British;1.7546398639678955
1discovery;L2_307_sent06;British;3.3938193321228027
1discovery;L1_017_sent04;British;3.303192138671875
1discovery;L1_151_sent08;American;4.046335935592651
1discovery;L2_308_sent05;British;2.6717288494110107
1discovery;L1_069_sent08;British;6.517699956893921
1discovery;L2_308_sent03;British;2.44156813621521
1discovery;L1_151_sent12;American;2.7712602615356445
