subject;stimulus;response;reactionTime
1discovery;L1_069_sent10;British;12.871036052703857
1discovery;L1_029_sent12;American;10.908507108688354
1discovery;L2_230_sent01;American;10.687493085861206
1discovery;L1_151_sent08;American;7.677266836166382
1discovery;L2_307_sent09;British;9.201560020446777
1discovery;L1_192_sent04;British;10.963643074035645
1discovery;L3_201_sent02;American;9.781822919845581
1discovery;L2_308_sent04;British;9.76295018196106
1discovery;L1_017_sent04;American;10.118833065032959
1discovery;L1_154_sent10;British;14.386178970336914
1discovery;L1_192_sent02;British;11.325078010559082
1discovery;L3_201_sent09;American;10.17835807800293
1discovery;L1_154_sent06;British;13.721934080123901
1discovery;L1_029_sent09;American;10.220948934555054
1discovery;L2_308_sent05;British;13.518476009368896
1discovery;L1_029_sent04;American;10.453197956085205
1discovery;L1_029_sent10;American;13.320470094680786
1discovery;L1_151_sent10;American;8.61353087425232
1discovery;L2_228_sent09;British;11.024547815322876
1discovery;L1_192_sent12;British;11.048377752304077
1discovery;L2_230_sent04;American;10.98992109298706
1discovery;L1_151_sent02;American;10.73106598854065
1discovery;L1_151_sent05;American;14.530862092971802
1discovery;L1_017_sent10;American;10.941545963287354
1discovery;L2_307_sent10;British;11.82224702835083
1discovery;L1_029_sent05;American;14.01101803779602
1discovery;L1_069_sent09;British;11.650583028793335
1discovery;L3_201_sent08;American;9.633244752883911
1discovery;L1_192_sent06;British;12.752245903015137
1discovery;L2_230_sent02;American;11.283555746078491
1discovery;L1_069_sent01;American;10.230096817016602
1discovery;L2_307_sent06;British;12.963371992111206
1discovery;L1_017_sent05;American;11.996845960617065
1discovery;L1_151_sent01;American;10.138099908828735
1discovery;L1_017_sent01;British;10.480997085571289
1discovery;L2_230_sent09;American;13.964632034301758
1discovery;L1_017_sent12;American;9.612597942352295
1discovery;L1_029_sent03;American;12.499550104141235
1discovery;L2_308_sent12;American;10.49013376235962
1discovery;L1_154_sent03;American;13.371269941329956
1discovery;L3_201_sent12;American;11.177351236343384
1discovery;L2_307_sent03;British;12.321263313293457
1discovery;L2_228_sent02;British;12.400876998901367
1discovery;L1_154_sent09;British;12.732709884643555
1discovery;L1_192_sent08;British;10.192167043685913
1discovery;L1_069_sent12;American;10.158666849136353
1discovery;L1_069_sent04;American;11.751102924346924
1discovery;L1_151_sent09;American;9.343915700912476
1discovery;L1_017_sent03;American;10.145125150680542
1discovery;L1_029_sent06;American;13.884092807769775
1discovery;L2_230_sent10;American;12.524227142333984
1discovery;L1_192_sent05;British;14.432200908660889
1discovery;L2_308_sent01;American;9.873372793197632
1discovery;L1_069_sent02;American;11.729204893112183
1discovery;L3_201_sent05;American;13.059518098831177
1discovery;L3_201_sent04;American;10.348525047302246
1discovery;L1_154_sent04;British;11.094641208648682
1discovery;L2_230_sent05;American;14.376167297363281
1discovery;L3_201_sent03;American;9.637982845306396
1discovery;L1_192_sent10;British;12.633311033248901
1discovery;L2_307_sent01;British;9.319751977920532
1discovery;L1_151_sent12;American;9.123816967010498
1discovery;L1_069_sent06;British;12.067474365234375
1discovery;L1_017_sent02;American;10.8490469455719
1discovery;L2_307_sent12;British;9.55460000038147
1discovery;L2_307_sent04;British;10.124341011047363
1discovery;L1_017_sent09;British;9.995728254318237
1discovery;L1_154_sent02;British;13.022417068481445
1discovery;L1_151_sent03;American;10.50787615776062
1discovery;L1_029_sent02;American;10.68976092338562
1discovery;L1_154_sent12;British;10.24480938911438
1discovery;L1_069_sent08;American;9.78581190109253
1discovery;L1_017_sent08;British;8.738218545913696
1discovery;L2_308_sent08;American;8.749711990356445
1discovery;L2_307_sent02;British;9.135207176208496
1discovery;L1_154_sent08;British;9.322702884674072
1discovery;L1_029_sent08;American;12.538080930709839
1discovery;L2_230_sent03;American;11.215078115463257
1discovery;L2_230_sent12;American;10.771314144134521
1discovery;L2_230_sent08;American;9.225190877914429
1discovery;L1_192_sent09;British;10.557985067367554
1discovery;L1_154_sent01;British;12.674883604049683
1discovery;L2_228_sent10;British;12.345852136611938
1discovery;L2_308_sent10;American;11.050123929977417
1discovery;L1_029_sent01;American;10.140154838562012
1discovery;L2_307_sent08;British;8.212975025177002
1discovery;L3_201_sent06;American;12.535727262496948
1discovery;L1_192_sent03;British;10.646344900131226
1discovery;L2_228_sent03;British;11.395318031311035
1discovery;L1_069_sent03;American;12.939864873886108
1discovery;L1_069_sent05;American;13.30287790298462
1discovery;L2_230_sent06;American;13.579385042190552
1discovery;L3_201_sent01;American;9.354249000549316
1discovery;L2_307_sent05;British;11.996363162994385
1discovery;L2_308_sent06;American;10.95675802230835
1discovery;L1_151_sent04;American;8.976544857025146
1discovery;L1_151_sent06;American;9.489147901535034
1discovery;L2_308_sent03;British;10.206310987472534
1discovery;L2_228_sent12;British;9.401762008666992
1discovery;L3_201_sent10;British;10.45201325416565
1discovery;L1_154_sent05;British;13.364569187164307
1discovery;L1_017_sent06;American;11.095679998397827
1discovery;L2_228_sent08;British;9.523618221282959
1discovery;L2_308_sent02;British;10.54223108291626
1discovery;L2_228_sent05;British;11.977086067199707
1discovery;L2_228_sent06;American;12.034269094467163
1discovery;L2_228_sent01;British;9.846555948257446
1discovery;L1_192_sent01;British;9.93858289718628
1discovery;L2_308_sent09;British;9.643630981445312
1discovery;L2_228_sent04;British;9.64467191696167
