subject;stimulus;response;reactionTime
1discovery;L1_017_sent05;British;13.020421981811523
1discovery;L1_192_sent01;British;10.171388149261475
1discovery;L1_151_sent02;American;9.588006734848022
1discovery;L1_151_sent05;American;12.992985248565674
1discovery;L2_307_sent08;British;8.222768306732178
1discovery;L1_029_sent01;British;8.807394742965698
1discovery;L2_228_sent10;British;11.884708881378174
1discovery;L1_069_sent09;British;10.595407962799072
1discovery;L2_308_sent02;British;10.682663917541504
1discovery;L2_308_sent01;American;9.075334310531616
1discovery;L1_029_sent03;American;10.043570756912231
1discovery;L2_307_sent04;British;13.816955089569092
1discovery;L1_154_sent03;British;11.4288489818573
1discovery;L2_230_sent01;American;10.093513250350952
1discovery;L1_192_sent02;British;10.914015054702759
1discovery;L1_192_sent10;British;11.786651134490967
1discovery;L1_151_sent08;American;7.969802141189575
1discovery;L1_017_sent09;American;8.59720516204834
1discovery;L2_230_sent03;American;10.485644102096558
1discovery;L1_151_sent04;American;8.636075019836426
1discovery;L2_307_sent12;British;9.423645973205566
1discovery;L2_308_sent08;British;11.653681993484497
1discovery;L1_017_sent06;British;13.559244871139526
1discovery;L2_228_sent09;British;9.331914901733398
1discovery;L1_154_sent04;British;10.961982011795044
1discovery;L1_154_sent09;British;11.472297430038452
1discovery;L2_308_sent06;American;13.27048397064209
1discovery;L2_228_sent03;British;10.270349979400635
1discovery;L1_017_sent04;British;10.564984798431396
1discovery;L1_029_sent08;American;10.013437986373901
1discovery;L1_192_sent12;British;9.512911081314087
1discovery;L2_307_sent05;British;12.184302806854248
1discovery;L1_069_sent01;American;10.008584976196289
1discovery;L3_201_sent02;British;9.6959810256958
1discovery;L1_017_sent08;British;8.60019302368164
1discovery;L3_201_sent06;British;11.941395282745361
1discovery;L1_154_sent02;British;11.720393896102905
1discovery;L2_228_sent08;British;8.96805191040039
1discovery;L2_307_sent10;British;9.746084928512573
1discovery;L1_192_sent04;British;10.139624118804932
1discovery;L2_307_sent03;American;11.18819785118103
1discovery;L2_230_sent12;American;10.406661748886108
1discovery;L2_230_sent06;American;12.326246976852417
1discovery;L3_201_sent10;American;10.254427909851074
1discovery;L3_201_sent12;American;9.57079291343689
1discovery;L1_151_sent10;American;8.417315244674683
1discovery;L1_154_sent05;British;13.251620769500732
1discovery;L2_308_sent12;American;8.700352668762207
1discovery;L3_201_sent09;American;10.07265305519104
1discovery;L1_192_sent03;British;10.357275009155273
1discovery;L1_029_sent09;British;9.562793970108032
1discovery;L1_151_sent12;American;8.434457778930664
1discovery;L1_069_sent06;British;11.172491073608398
1discovery;L2_308_sent03;British;9.778407096862793
1discovery;L2_230_sent02;American;10.549034833908081
1discovery;L1_029_sent04;British;9.772018194198608
1discovery;L2_308_sent09;American;10.711230278015137
1discovery;L2_228_sent02;British;10.45575499534607
1discovery;L1_017_sent01;British;9.09660792350769
1discovery;L2_308_sent04;British;9.266194820404053
1discovery;L2_307_sent06;British;11.602668762207031
1discovery;L1_069_sent10;British;11.847102880477905
1discovery;L3_201_sent05;British;11.763609886169434
1discovery;L2_230_sent09;American;11.65883493423462
1discovery;L2_228_sent12;British;9.363730907440186
1discovery;L2_230_sent05;American;12.544270992279053
1discovery;L1_029_sent06;American;12.49052619934082
1discovery;L1_192_sent06;British;12.860108137130737
1discovery;L1_069_sent03;American;13.703261137008667
1discovery;L1_017_sent02;British;10.516863822937012
1discovery;L1_151_sent03;American;10.163944005966187
1discovery;L1_154_sent10;British;12.162214040756226
1discovery;L1_069_sent12;American;8.859481811523438
1discovery;L1_192_sent09;British;10.42577314376831
1discovery;L2_230_sent10;American;11.250648736953735
1discovery;L1_154_sent01;British;11.556875944137573
1discovery;L1_192_sent05;British;12.20631194114685
1discovery;L1_029_sent12;American;10.048321962356567
1discovery;L1_069_sent08;American;8.899023294448853
1discovery;L3_201_sent01;American;8.976988077163696
1discovery;L1_069_sent02;British;10.283265113830566
1discovery;L2_308_sent10;British;10.85151481628418
1discovery;L1_017_sent03;British;8.956874132156372
1discovery;L2_307_sent01;American;8.682806015014648
1discovery;L1_154_sent12;British;9.575398921966553
1discovery;L2_307_sent09;British;9.354192972183228
1discovery;L2_308_sent05;British;12.203307151794434
1discovery;L2_230_sent04;American;9.539921760559082
1discovery;L1_029_sent05;British;14.112775802612305
1discovery;L3_201_sent08;American;8.688374042510986
1discovery;L1_154_sent08;British;8.4985671043396
1discovery;L1_017_sent10;American;10.836035013198853
1discovery;L1_017_sent12;British;8.473724842071533
1discovery;L1_069_sent04;British;11.360185146331787
1discovery;L2_228_sent06;British;12.337503910064697
1discovery;L1_069_sent05;American;13.08546495437622
1discovery;L2_228_sent04;British;9.969835042953491
1discovery;L3_201_sent04;American;9.034663200378418
1discovery;L1_151_sent09;American;8.532242059707642
1discovery;L3_201_sent03;British;8.76413893699646
1discovery;L1_192_sent08;British;8.720974922180176
1discovery;L2_228_sent01;British;9.384580850601196
1discovery;L1_151_sent01;American;8.770193099975586
1discovery;L1_029_sent02;British;10.340291976928711
1discovery;L1_029_sent10;British;12.09914493560791
1discovery;L2_307_sent02;British;8.876878023147583
1discovery;L1_154_sent06;British;13.090866804122925
1discovery;L1_151_sent06;American;9.60849404335022
1discovery;L2_228_sent05;British;12.347325086593628
1discovery;L2_230_sent08;American;9.98147702217102
